epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.1022,1.66266,2.45339,1.48823,0.77603,0.71618,0.80576,0.52659,1.17799,1.47021,1.17755,0.000277447,0.000277447,0.000277447
2,183.607,1.63514,1.64912,1.48507,0.83516,0.75288,0.84531,0.56673,1.17095,1.1504,1.14668,0.000544122,0.000544122,0.000544122
3,274.604,1.59262,1.43304,1.46511,0.91302,0.78393,0.89561,0.62245,1.10772,0.99082,1.13653,0.000799802,0.000799802,0.000799802
4,364.767,1.5507,1.28113,1.43305,0.79365,0.86189,0.87512,0.58145,1.15142,0.90277,1.12483,0.00078352,0.00078352,0.00078352
5,456.223,1.48824,1.15086,1.40099,0.84109,0.86865,0.89902,0.59994,1.1276,0.79047,1.10447,0.000767026,0.000767026,0.000767026
6,547.794,1.47042,1.12052,1.3842,0.8523,0.86266,0.8906,0.61022,1.12405,0.76961,1.10737,0.000750533,0.000750533,0.000750533
7,639.357,1.43184,1.05726,1.36457,0.80821,0.87886,0.89809,0.61307,1.12474,0.73634,1.10502,0.00073404,0.00073404,0.00073404
8,730.315,1.41433,1.01398,1.33282,0.78199,0.89012,0.92229,0.67376,1.04392,0.71485,1.04918,0.000717546,0.000717546,0.000717546
9,821.936,1.36342,0.96361,1.31932,0.86607,0.87232,0.91867,0.64383,1.08733,0.69969,1.08193,0.000701053,0.000701053,0.000701053
10,913.694,1.35364,0.92957,1.29917,0.8781,0.91222,0.94568,0.6646,1.06207,0.6696,1.07745,0.000684559,0.000684559,0.000684559
11,1005.23,1.33043,0.91339,1.30172,0.93261,0.90431,0.95454,0.69221,1.00203,0.61972,1.04957,0.000668066,0.000668066,0.000668066
12,1096.8,1.31791,0.89302,1.28704,0.86506,0.9101,0.90626,0.65187,1.02392,0.65513,1.04278,0.000651573,0.000651573,0.000651573
13,1188.06,1.29126,0.88886,1.2696,0.91475,0.90599,0.95064,0.70079,1.02485,0.58964,1.04236,0.000635079,0.000635079,0.000635079
14,1279.16,1.26713,0.8456,1.2611,0.92442,0.9529,0.95955,0.6981,0.9811,0.55459,1.03352,0.000618586,0.000618586,0.000618586
15,1370.14,1.26803,0.81888,1.25871,0.89937,0.97431,0.96833,0.70531,1.00405,0.59377,1.03663,0.000602092,0.000602092,0.000602092
16,1461.55,1.25765,0.8288,1.2563,0.95303,0.91866,0.96242,0.70277,0.96005,0.59634,1.02896,0.000585599,0.000585599,0.000585599
17,1553.27,1.22485,0.80954,1.22583,0.90706,0.97182,0.95869,0.68945,0.96995,0.57467,1.03848,0.000569106,0.000569106,0.000569106
18,1644.63,1.21727,0.78473,1.23466,0.95023,0.95812,0.97257,0.71597,0.95212,0.53979,1.02762,0.000552612,0.000552612,0.000552612
19,1736.17,1.20218,0.77855,1.22172,0.84583,0.96919,0.94032,0.68736,0.94845,0.54682,1.02123,0.000536119,0.000536119,0.000536119
20,1827.64,1.19572,0.76391,1.21694,0.87068,0.946,0.93221,0.69341,0.94804,0.55762,1.03132,0.000519625,0.000519625,0.000519625
21,1919.39,1.17649,0.75357,1.20197,0.89182,0.97158,0.95654,0.70891,0.95299,0.56407,1.01793,0.000503132,0.000503132,0.000503132
22,2010.65,1.18758,0.74538,1.21209,0.92641,0.93384,0.96174,0.71263,0.94874,0.51536,1.02275,0.000486639,0.000486639,0.000486639
23,2102.18,1.17943,0.73658,1.20396,0.95101,0.93802,0.96631,0.71005,0.95362,0.54645,1.02929,0.000470145,0.000470145,0.000470145
24,2193.7,1.1485,0.71396,1.19427,0.88637,0.97665,0.96945,0.7248,0.93038,0.51924,1.02241,0.000453652,0.000453652,0.000453652
25,2287,1.16205,0.71448,1.19969,0.9133,0.98153,0.96578,0.71933,0.93716,0.5291,1.01182,0.000437158,0.000437158,0.000437158
26,2378.33,1.13621,0.70813,1.18659,0.92578,0.96544,0.95429,0.72219,0.91252,0.49455,1.00651,0.000420665,0.000420665,0.000420665
27,2469.83,1.10793,0.69107,1.17065,0.92697,0.94258,0.95305,0.7181,0.91637,0.49865,1.00792,0.000404172,0.000404172,0.000404172
28,2561.43,1.11803,0.69329,1.17129,0.91289,0.96592,0.95855,0.72118,0.9056,0.50464,1.00691,0.000387678,0.000387678,0.000387678
29,2652.58,1.10387,0.69162,1.17649,0.92112,0.95816,0.96553,0.7325,0.91972,0.48841,1.0102,0.000371185,0.000371185,0.000371185
30,2743.92,1.10756,0.67183,1.1673,0.95655,0.9636,0.98414,0.74135,0.91569,0.46627,1.0057,0.000354691,0.000354691,0.000354691
31,2835.32,1.08823,0.67265,1.16017,0.95056,0.94171,0.97911,0.73852,0.90289,0.47618,1.00707,0.000338198,0.000338198,0.000338198
32,2927.12,1.08177,0.66874,1.16111,0.93999,0.96468,0.97692,0.73721,0.90918,0.47553,1.00133,0.000321705,0.000321705,0.000321705
33,3018.77,1.0721,0.64506,1.14729,0.92982,0.9729,0.98213,0.74215,0.90829,0.46511,1.00109,0.000305211,0.000305211,0.000305211
34,3110.26,1.06681,0.63995,1.14855,0.95646,0.94057,0.97289,0.73575,0.88964,0.45544,0.99804,0.000288718,0.000288718,0.000288718
35,3202.15,1.05422,0.63061,1.1398,0.92627,0.9695,0.9781,0.73632,0.89758,0.45632,1.00177,0.000272224,0.000272224,0.000272224
36,3293.31,1.05203,0.64014,1.13694,0.94371,0.95637,0.97646,0.73536,0.90034,0.44514,1.00649,0.000255731,0.000255731,0.000255731
37,3384.8,1.04147,0.62584,1.13546,0.94863,0.97087,0.97781,0.74447,0.88916,0.44868,1.00055,0.000239238,0.000239238,0.000239238
38,3476.39,1.02926,0.61799,1.12997,0.94956,0.97895,0.98363,0.75065,0.89336,0.43479,1.00298,0.000222744,0.000222744,0.000222744
39,3568.14,1.02184,0.61293,1.12225,0.94473,0.95562,0.97645,0.74472,0.88036,0.44254,0.99963,0.000206251,0.000206251,0.000206251
40,3661.22,1.02787,0.6023,1.12672,0.94934,0.97962,0.9794,0.74406,0.87705,0.43591,0.9978,0.000189757,0.000189757,0.000189757
41,3753.74,0.95835,0.5078,1.09783,0.97119,0.96257,0.9858,0.74792,0.88358,0.43005,0.99969,0.000173264,0.000173264,0.000173264
42,3845.09,0.94696,0.49982,1.09388,0.94989,0.98439,0.98256,0.74405,0.8918,0.43169,0.99994,0.000156771,0.000156771,0.000156771
43,3936.3,0.92023,0.47755,1.06951,0.94548,0.98067,0.97907,0.75036,0.87318,0.42497,0.99297,0.000140277,0.000140277,0.000140277
44,4027.56,0.91539,0.47763,1.06832,0.95677,0.97628,0.98364,0.75452,0.86805,0.41646,0.99113,0.000123784,0.000123784,0.000123784
45,4118.81,0.90688,0.47512,1.072,0.97295,0.95871,0.98388,0.75335,0.87155,0.42224,0.99166,0.00010729,0.00010729,0.00010729
46,4210.31,0.8966,0.46636,1.06103,0.96129,0.96612,0.98382,0.75476,0.86796,0.4109,0.98836,9.0797e-05,9.0797e-05,9.0797e-05
47,4301.92,0.8773,0.45144,1.04852,0.96512,0.98076,0.98404,0.74782,0.86578,0.41435,0.99035,7.43036e-05,7.43036e-05,7.43036e-05
48,4393.54,0.88337,0.45912,1.05538,0.97015,0.9724,0.98451,0.75665,0.85907,0.40804,0.98738,5.78102e-05,5.78102e-05,5.78102e-05
49,4485.24,0.85778,0.44545,1.04098,0.96126,0.96919,0.98302,0.75576,0.86219,0.41158,0.98753,4.13168e-05,4.13168e-05,4.13168e-05
50,4576.52,0.8558,0.44312,1.04595,0.96807,0.97014,0.98514,0.76022,0.85588,0.40781,0.98586,2.48234e-05,2.48234e-05,2.48234e-05
