epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.26557,0.78102,3.62,1.28305,0.00957,0.90417,0.08904,0.0523,0.59111,3.80288,1.28696,1e-05,1e-05,1e-05
2,3.17128,0.77641,3.58971,1.29644,0.00915,0.90417,0.09906,0.05854,0.58141,3.79838,1.29396,2.9406e-05,2.9406e-05,2.9406e-05
3,4.03079,0.7375,3.50335,1.35763,0.00933,0.90417,0.11581,0.06911,0.53214,3.78963,1.27031,4.802e-05,4.802e-05,4.802e-05
4,4.88268,1.15977,3.73742,1.7308,0.00954,0.90417,0.13685,0.09458,0.50842,3.77354,1.26698,6.5842e-05,6.5842e-05,6.5842e-05
5,5.70713,0.73054,3.5006,1.33529,0.00987,0.90417,0.1556,0.11178,0.46454,3.7672,1.22488,8.2872e-05,8.2872e-05,8.2872e-05
6,6.53578,0.67781,3.34293,1.23752,0.01018,0.90417,0.1749,0.13074,0.45498,3.76788,1.20757,9.911e-05,9.911e-05,9.911e-05
7,7.37089,0.93093,3.5156,1.33518,0.01083,0.90417,0.18641,0.14394,0.52743,3.76054,1.24071,0.000114556,0.000114556,0.000114556
8,8.20235,0.74889,3.38668,1.2589,0.01281,0.925,0.27314,0.22988,0.48567,3.76795,1.19467,0.00012921,0.00012921,0.00012921
9,9.04693,0.66595,3.23783,1.21557,0.01422,0.925,0.36444,0.31364,0.49467,3.75859,1.19347,0.000143072,0.000143072,0.000143072
10,9.8934,0.60795,3.10695,1.1856,0.0149,0.925,0.40058,0.34059,0.48469,3.73161,1.18934,0.000156142,0.000156142,0.000156142
11,10.7267,0.76519,3.15289,1.38993,0.01473,0.925,0.46693,0.35994,0.45031,3.69961,1.17893,0.00016842,0.00016842,0.00016842
12,11.5581,0.63208,2.95043,1.20516,0.01473,0.925,0.46693,0.35994,0.45031,3.69961,1.17893,0.000179906,0.000179906,0.000179906
13,12.3953,0.57008,2.88775,1.20952,0.01517,0.925,0.43754,0.41165,0.44093,3.67093,1.17344,0.0001906,0.0001906,0.0001906
14,13.2204,0.57824,2.96693,1.15148,0.01506,0.925,0.46024,0.43243,0.44953,3.64177,1.18079,0.000200502,0.000200502,0.000200502
15,14.0403,0.46277,2.77336,1.07637,0.01506,0.925,0.46024,0.43243,0.44953,3.64177,1.18079,0.000209612,0.000209612,0.000209612
16,14.8606,0.7158,2.80196,1.31641,0.01458,0.925,0.46151,0.42338,0.46029,3.59817,1.19353,0.00021793,0.00021793,0.00021793
17,15.6715,0.60108,2.84579,1.1915,0.01393,0.925,0.44433,0.39063,0.48364,3.52923,1.21059,0.000225456,0.000225456,0.000225456
18,16.4818,0.61341,2.65712,1.18938,0.01393,0.925,0.44433,0.39063,0.48364,3.52923,1.21059,0.00023219,0.00023219,0.00023219
19,17.2994,0.53616,2.68556,1.18077,0.76862,0.099,0.42003,0.36723,0.49205,3.41565,1.21376,0.000238132,0.000238132,0.000238132
20,18.1078,0.55691,2.48584,1.23955,0.76862,0.099,0.42003,0.36723,0.49205,3.41565,1.21376,0.000243282,0.000243282,0.000243282
21,18.922,0.66181,2.52361,1.21646,0.96259,0.07314,0.45114,0.38954,0.51914,3.25484,1.21085,0.00024764,0.00024764,0.00024764
22,19.7301,0.58495,2.37778,1.20821,0.96259,0.07314,0.45114,0.38954,0.51914,3.25484,1.21085,0.000251206,0.000251206,0.000251206
23,20.5426,0.52171,2.36856,1.11569,0.94254,0.08333,0.49712,0.44757,0.50881,3.07809,1.18667,0.00025398,0.00025398,0.00025398
24,21.3617,0.58047,2.18898,1.18815,0.94254,0.08333,0.49712,0.44757,0.50881,3.07809,1.18667,0.000255962,0.000255962,0.000255962
